Year,Series,Measure,Sector,Geopolitical Zone,State,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kano,Percentage (%),NGKN19,40.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Katsina,Percentage (%),NGKT20,41.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kebbi,Percentage (%),NGKE21,46.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kogi,Percentage (%),NGKO22,40.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Kwara,Percentage (%),NGKW23,38.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Lagos,Percentage (%),NGLA24,34.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Nasarawa,Percentage (%),NGNA25,39.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Niger,Percentage (%),NGNI26,40.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Ogun,Percentage (%),NGOG27,42.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Ondo,Percentage (%),NGON28,34.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Osun,Percentage (%),NGOS29,36.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Oyo,Percentage (%),NGOY30,39.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Plateau,Percentage (%),NGPL31,43.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Rivers,Percentage (%),NGRI32,38.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Sokoto,Percentage (%),NGSO33,45.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Taraba,Percentage (%),NGTA34,42.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Yobe,Percentage (%),NGYO35,44.3
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Zamfara,Percentage (%),NGZA36,42.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Intensity (A),,,Federal Capital Territory,Percentage (%),NGFC37,38.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,,Percentage (%),NG,100.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,Rural,,,Percentage (%),NG,69.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,Urban,,,Percentage (%),NG,30.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,North  Central,,Percentage (%),NGNCZ06,14.4
