Year,Series,Gender,Sector,Discrimination,Education level,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,,Male,,Sexual orientation,Senior secondary,,,,,,NG,2.1
2021,,Male,,Sexual orientation,Higher/tertiary,,,,,,NG,2.1
2021,,Male,,Sexual orientation,,Hausa,,,,,NG,3.2
2021,,Male,,Sexual orientation,,Igbo,,,,,NG,0.8
2021,,Male,,Sexual orientation,,Yoruba,,,,,NG,1.2
2021,,Male,,Sexual orientation,,Fulani,,,,,NG,4.9
2021,,Male,,Sexual orientation,,Kanuri,,,,,NG,3.3
2021,,Male,,Sexual orientation,,Ijaw,,,,,NG,3.4
2021,,Male,,Sexual orientation,,Tiv,,,,,NG,0.9
2021,,Male,,Sexual orientation,,Ibibio,,,,,NG,1.5
2021,,Male,,Sexual orientation,,Edo,,,,,NG,0.6
2021,,Male,,Sexual orientation,,Other ethnicity,,,,,NG,3.2
2021,,Male,,Sexual orientation,,,Poorest,,,,NG,4.3
2021,,Male,,Sexual orientation,,,Second,,,,NG,2.9
2021,,Male,,Sexual orientation,,,Middle,,,,NG,3.1
2021,,Male,,Sexual orientation,,,Fourth,,,,NG,1.6
2021,,Male,,Sexual orientation,,,Richest,,,,NG,1.1
2021,,Male,,Sexual orientation,,,,North  Central,,,NGNCZ06,2.0
2021,,Male,,Sexual orientation,,,,North East,,,NGNEZ05,4.8
2021,,Male,,Sexual orientation,,,,North West,,,NGNWZ04,3.8
2021,,Male,,Sexual orientation,,,,South East,,,NGSEZ03,0.9
2021,,Male,,Sexual orientation,,,,South South,,,NGSSZ02,2.4
2021,,Male,,Sexual orientation,,,,South West,,,NGSWZ01,0.6
2021,,Male,,Sexual orientation,,,,,Abia,,NGAB01,1.3
2021,,Male,,Sexual orientation,,,,,Adamawa,,NGAD02,15.2
2021,,Male,,Sexual orientation,,,,,Akwa Ibom,,NGAK03,1.8
2021,,Male,,Sexual orientation,,,,,Anambra,,NGAN04,0.0
2021,,Male,,Sexual orientation,,,,,Bauchi,,NGBA05,2.0
2021,,Male,,Sexual orientation,,,,,Bayelsa,,NGBY06,12.6
2021,,Male,,Sexual orientation,,,,,Benue,,NGBE07,0.2
2021,,Male,,Sexual orientation,,,,,Borno,,NGBO08,5.4
2021,,Male,,Sexual orientation,,,,,Cross River,,NGXR09,3.2
2021,,Male,,Sexual orientation,,,,,Delta,,NGDE10,0.8
2021,,Male,,Sexual orientation,,,,,Ebonyi,,NGEB11,3.9
2021,,Male,,Sexual orientation,,,,,Edo,,NGED12,0.5
2021,,Male,,Sexual orientation,,,,,Ekiti,,NGEK13,0.2
2021,,Male,,Sexual orientation,,,,,Enugu,,NGEN14,0.0
2021,,Male,,Sexual orientation,,,,,Gombe,,NGGO15,1.9
2021,,Male,,Sexual orientation,,,,,Imo,,NGIM16,0.3
2021,,Male,,Sexual orientation,,,,,Jigawa,,NGJI17,0.6
2021,,Male,,Sexual orientation,,,,,Kaduna,,NGKD18,0.5
2021,,Male,,Sexual orientation,,,,,Kano,,NGKN19,0.1
2021,,Male,,Sexual orientation,,,,,Katsina,,NGKT20,1.6
2021,,Male,,Sexual orientation,,,,,Kebbi,,NGKE21,32.9
2021,,Male,,Sexual orientation,,,,,Kogi,,NGKO22,2.3
2021,,Male,,Sexual orientation,,,,,Kwara,,NGKW23,4.3
2021,,Male,,Sexual orientation,,,,,Lagos,,NGLA24,0.0
2021,,Male,,Sexual orientation,,,,,Nasarawa,,NGNA25,1.3
2021,,Male,,Sexual orientation,,,,,Niger,,NGNI26,1.5
2021,,Male,,Sexual orientation,,,,,Ogun,,NGOG27,1.7
2021,,Male,,Sexual orientation,,,,,Ondo,,NGON28,0.4
2021,,Male,,Sexual orientation,,,,,Osun,,NGOS29,0.0
2021,,Male,,Sexual orientation,,,,,Oyo,,NGOY30,1.7
2021,,Male,,Sexual orientation,,,,,Plateau,,NGPL31,1.9
2021,,Male,,Sexual orientation,,,,,Rivers,,NGRI32,0.7
2021,,Male,,Sexual orientation,,,,,Sokoto,,NGSO33,1.1
2021,,Male,,Sexual orientation,,,,,Taraba,,NGTA34,1.7
2021,,Male,,Sexual orientation,,,,,Yobe,,NGYO35,0.1
2021,,Male,,Sexual orientation,,,,,Zamfara,,NGZA36,1.8
2021,,Male,,Sexual orientation,,,,,Federal Capital Territory,,NGFC37,3.5
2021,,Male,,Age,,,,,,,NG,11.0
2021,,Male,Urban,Age,,,,,,,NG,9.8
2021,,Male,Rural,Age,,,,,,,NG,12.1
2021,,Male,,Age,,,,,,15-19,NG,15.0
2021,,Male,,Age,,,,,,15-17,NG,15.8
2021,,Male,,Age,,,,,,18-19,NG,13.8
2021,,Male,,Age,,,,,,20-24,NG,12.9
2021,,Male,,Age,,,,,,25-29,NG,11.2
2021,,Male,,Age,,,,,,30-34,NG,10.0
2021,,Male,,Age,,,,,,35-39,NG,8.4
2021,,Male,,Age,,,,,,40-44,NG,8.1
2021,,Male,,Age,,,,,,45-49,NG,5.7
2021,,Male,,Age,None,,,,,,NG,12.1
2021,,Male,,Age,Primary,,,,,,NG,10.4
2021,,Male,,Age,Junior secondary,,,,,,NG,14.8
2021,,Male,,Age,Senior secondary,,,,,,NG,10.6
2021,,Male,,Age,Higher/tertiary,,,,,,NG,9.9
2021,,Male,,Age,,Hausa,,,,,NG,15.3
2021,,Male,,Age,,Igbo,,,,,NG,12.5
2021,,Male,,Age,,Yoruba,,,,,NG,2.9
2021,,Male,,Age,,Fulani,,,,,NG,13.2
2021,,Male,,Age,,Kanuri,,,,,NG,23.7
2021,,Male,,Age,,Ijaw,,,,,NG,12.7
2021,,Male,,Age,,Tiv,,,,,NG,5.5
2021,,Male,,Age,,Ibibio,,,,,NG,7.0
2021,,Male,,Age,,Edo,,,,,NG,5.7
2021,,Male,,Age,,Other ethnicity,,,,,NG,10.6
2021,,Male,,Age,,,Poorest,,,,NG,12.9
2021,,Male,,Age,,,Second,,,,NG,11.9
2021,,Male,,Age,,,Middle,,,,NG,11.3
2021,,Male,,Age,,,Fourth,,,,NG,10.6
2021,,Male,,Age,,,Richest,,,,NG,9.1
2021,,Male,,Age,,,,North  Central,,,NGNCZ06,11.3
2021,,Male,,Age,,,,North East,,,NGNEZ05,14.4
2021,,Male,,Age,,,,North West,,,NGNWZ04,15.0
2021,,Male,,Age,,,,South East,,,NGSEZ03,14.3
2021,,Male,,Age,,,,South South,,,NGSSZ02,10.3
2021,,Male,,Age,,,,South West,,,NGSWZ01,2.0
2021,,Male,,Age,,,,,Abia,,NGAB01,27.3
2021,,Male,,Age,,,,,Adamawa,,NGAD02,2.0
2021,,Male,,Age,,,,,Akwa Ibom,,NGAK03,5.7
2021,,Male,,Age,,,,,Anambra,,NGAN04,8.1
2021,,Male,,Age,,,,,Bauchi,,NGBA05,26.1
2021,,Male,,Age,,,,,Bayelsa,,NGBY06,21.0
2021,,Male,,Age,,,,,Benue,,NGBE07,4.7
2021,,Male,,Age,,,,,Borno,,NGBO08,8.6
2021,,Male,,Age,,,,,Cross River,,NGXR09,3.3
2021,,Male,,Age,,,,,Delta,,NGDE10,13.9
2021,,Male,,Age,,,,,Ebonyi,,NGEB11,24.6
2021,,Male,,Age,,,,,Edo,,NGED12,6.1
2021,,Male,,Age,,,,,Ekiti,,NGEK13,2.7
2021,,Male,,Age,,,,,Enugu,,NGEN14,16.4
2021,,Male,,Age,,,,,Gombe,,NGGO15,4.9
2021,,Male,,Age,,,,,Imo,,NGIM16,1.9
2021,,Male,,Age,,,,,Jigawa,,NGJI17,13.8
2021,,Male,,Age,,,,,Kaduna,,NGKD18,24.5
2021,,Male,,Age,,,,,Kano,,NGKN19,11.4
2021,,Male,,Age,,,,,Katsina,,NGKT20,12.8
2021,,Male,,Age,,,,,Kebbi,,NGKE21,36.8
2021,,Male,,Age,,,,,Kogi,,NGKO22,4.6
2021,,Male,,Age,,,,,Kwara,,NGKW23,5.4
2021,,Male,,Age,,,,,Lagos,,NGLA24,1.1
2021,,Male,,Age,,,,,Nasarawa,,NGNA25,14.0
2021,,Male,,Age,,,,,Niger,,NGNI26,6.1
2021,,Male,,Age,,,,,Ogun,,NGOG27,1.0
2021,,Male,,Age,,,,,Ondo,,NGON28,3.6
2021,,Male,,Age,,,,,Osun,,NGOS29,1.9
2021,,Male,,Age,,,,,Oyo,,NGOY30,3.1
2021,,Male,,Age,,,,,Plateau,,NGPL31,31.9
2021,,Male,,Age,,,,,Rivers,,NGRI32,13.7
2021,,Male,,Age,,,,,Sokoto,,NGSO33,0.4
2021,,Male,,Age,,,,,Taraba,,NGTA34,9.1
2021,,Male,,Age,,,,,Yobe,,NGYO35,35.2
2021,,Male,,Age,,,,,Zamfara,,NGZA36,8.4
2021,,Male,,Age,,,,,Federal Capital Territory,,NGFC37,15.2
2021,,Male,,Religion or belief,,,,,,,NG,9.9
2021,,Male,Urban,Religion or belief,,,,,,,NG,7.7
2021,,Male,Rural,Religion or belief,,,,,,,NG,11.7
2021,,Male,,Religion or belief,,,,,,15-19,NG,9.3
2021,,Male,,Religion or belief,,,,,,15-17,NG,9.2
2021,,Male,,Religion or belief,,,,,,18-19,NG,9.4
2021,,Male,,Religion or belief,,,,,,20-24,NG,10.3
2021,,Male,,Religion or belief,,,,,,25-29,NG,10.8
2021,,Male,,Religion or belief,,,,,,30-34,NG,10.1
2021,,Male,,Religion or belief,,,,,,35-39,NG,8.8
2021,,Male,,Religion or belief,,,,,,40-44,NG,10.8
2021,,Male,,Religion or belief,,,,,,45-49,NG,9.6
2021,,Male,,Religion or belief,None,,,,,,NG,14.0
2021,,Male,,Religion or belief,Primary,,,,,,NG,11.0
2021,,Male,,Religion or belief,Junior secondary,,,,,,NG,9.6
2021,,Male,,Religion or belief,Senior secondary,,,,,,NG,8.0
2021,,Male,,Religion or belief,Higher/tertiary,,,,,,NG,10.2
2021,,Male,,Religion or belief,,Hausa,,,,,NG,13.9
2021,,Male,,Religion or belief,,Igbo,,,,,NG,3.9
2021,,Male,,Religion or belief,,Yoruba,,,,,NG,2.7
2021,,Male,,Religion or belief,,Fulani,,,,,NG,14.3
2021,,Male,,Religion or belief,,Kanuri,,,,,NG,12.4
2021,,Male,,Religion or belief,,Ijaw,,,,,NG,4.5
2021,,Male,,Religion or belief,,Tiv,,,,,NG,4.4
2021,,Male,,Religion or belief,,Ibibio,,,,,NG,11.4
2021,,Male,,Religion or belief,,Edo,,,,,NG,5.9
2021,,Male,,Religion or belief,,Other ethnicity,,,,,NG,13.4
2021,,Male,,Religion or belief,,,Poorest,,,,NG,14.2
2021,,Male,,Religion or belief,,,Second,,,,NG,11.2
2021,,Male,,Religion or belief,,,Middle,,,,NG,9.7
2021,,Male,,Religion or belief,,,Fourth,,,,NG,8.4
2021,,Male,,Religion or belief,,,Richest,,,,NG,7.0
2021,,Male,,Religion or belief,,,,North  Central,,,NGNCZ06,15.0
2021,,Male,,Religion or belief,,,,North East,,,NGNEZ05,15.3
2021,,Male,,Religion or belief,,,,North West,,,NGNWZ04,13.9
2021,,Male,,Religion or belief,,,,South East,,,NGSEZ03,2.5
2021,,Male,,Religion or belief,,,,South South,,,NGSSZ02,8.7
2021,,Male,,Religion or belief,,,,South West,,,NGSWZ01,1.9
2021,,Male,,Religion or belief,,,,,Abia,,NGAB01,1.0
2021,,Male,,Religion or belief,,,,,Adamawa,,NGAD02,2.0
2021,,Male,,Religion or belief,,,,,Akwa Ibom,,NGAK03,9.6
2021,,Male,,Religion or belief,,,,,Anambra,,NGAN04,2.3
2021,,Male,,Religion or belief,,,,,Bauchi,,NGBA05,14.9
2021,,Male,,Religion or belief,,,,,Bayelsa,,NGBY06,10.1
2021,,Male,,Religion or belief,,,,,Benue,,NGBE07,0.3
2021,,Male,,Religion or belief,,,,,Borno,,NGBO08,14.8
2021,,Male,,Religion or belief,,,,,Cross River,,NGXR09,5.8
2021,,Male,,Religion or belief,,,,,Delta,,NGDE10,16.5
2021,,Male,,Religion or belief,,,,,Ebonyi,,NGEB11,8.8
2021,,Male,,Religion or belief,,,,,Edo,,NGED12,7.0
2021,,Male,,Religion or belief,,,,,Ekiti,,NGEK13,1.7
2021,,Male,,Religion or belief,,,,,Enugu,,NGEN14,2.3
2021,,Male,,Religion or belief,,,,,Gombe,,NGGO15,31.4
2021,,Male,,Religion or belief,,,,,Imo,,NGIM16,0.0
2021,,Male,,Religion or belief,,,,,Jigawa,,NGJI17,17.7
2021,,Male,,Religion or belief,,,,,Kaduna,,NGKD18,12.8
2021,,Male,,Religion or belief,,,,,Kano,,NGKN19,10.7
2021,,Male,,Religion or belief,,,,,Katsina,,NGKT20,15.0
2021,,Male,,Religion or belief,,,,,Kebbi,,NGKE21,34.3
2021,,Male,,Religion or belief,,,,,Kogi,,NGKO22,3.1
2021,,Male,,Religion or belief,,,,,Kwara,,NGKW23,4.4
2021,,Male,,Religion or belief,,,,,Lagos,,NGLA24,1.0
2021,,Male,,Religion or belief,,,,,Nasarawa,,NGNA25,21.1
2021,,Male,,Religion or belief,,,,,Niger,,NGNI26,7.9
2021,,Male,,Religion or belief,,,,,Ogun,,NGOG27,3.5
2021,,Male,,Religion or belief,,,,,Ondo,,NGON28,2.6
2021,,Male,,Religion or belief,,,,,Osun,,NGOS29,0.9
2021,,Male,,Religion or belief,,,,,Oyo,,NGOY30,2.9
2021,,Male,,Religion or belief,,,,,Plateau,,NGPL31,45.8
2021,,Male,,Religion or belief,,,,,Rivers,,NGRI32,5.7
2021,,Male,,Religion or belief,,,,,Sokoto,,NGSO33,0.9
2021,,Male,,Religion or belief,,,,,Taraba,,NGTA34,16.9
2021,,Male,,Religion or belief,,,,,Yobe,,NGYO35,17.0
2021,,Male,,Religion or belief,,,,,Zamfara,,NGZA36,14.9
2021,,Male,,Religion or belief,,,,,Federal Capital Territory,,NGFC37,31.0
2021,,Male,,Disability,,,,,,,NG,2.4
2021,,Male,Urban,Disability,,,,,,,NG,2.1
2021,,Male,Rural,Disability,,,,,,,NG,2.7
2021,,Male,,Disability,,,,,,15-19,NG,2.1
2021,,Male,,Disability,,,,,,15-17,NG,1.9
2021,,Male,,Disability,,,,,,18-19,NG,2.5
2021,,Male,,Disability,,,,,,20-24,NG,2.1
2021,,Male,,Disability,,,,,,25-29,NG,3.0
2021,,Male,,Disability,,,,,,30-34,NG,2.2
