Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Gender,Units,GeoCode,Value
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kwara,,Percentage (%),NGKW23,11.7
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Lagos,,Percentage (%),NGLA24,-46.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Nasarawa,,Percentage (%),NGNA25,35.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Niger,,Percentage (%),NGNI26,12.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Ogun,,Percentage (%),NGOG27,46.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Ondo,,Percentage (%),NGON28,34.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Osun,,Percentage (%),NGOS29,53.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Oyo,,Percentage (%),NGOY30,-22.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Plateau,,Percentage (%),NGPL31,10.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Rivers,,Percentage (%),NGRI32,9.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Sokoto,,Percentage (%),NGSO33,63.7
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Taraba,,Percentage (%),NGTA34,38.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Yobe,,Percentage (%),NGYO35,9.7
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Zamfara,,Percentage (%),NGZA36,66
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Federal Capital Territory,,Percentage (%),NGFC37,40.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,,,Percentage (%),NG,2.6
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",Urban,,,,,,,Percentage (%),NG,2.1
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",Rural,,,,,,,Percentage (%),NG,3.1
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,15-19,,,,,,Percentage (%),NG,0.5
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,20-24,,,,,,Percentage (%),NG,1.5
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,25-29,,,,,,Percentage (%),NG,1.6
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,30-34,,,,,,Percentage (%),NG,2.8
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,35-39,,,,,,Percentage (%),NG,3.8
